A,B,Cin,Sum,Cout,Switching_Activity,Transistor_Count,Power_mW,Delay_ns
0,1,1,0,1,2,28,2.5664923562022466,1.5980740012956534
0,0,0,0,0,0,28,0.5312132133576606,1.0088200534089418
1,0,0,1,0,1,28,1.4704250370818204,1.3387691924651453
1,0,0,1,0,1,28,1.4385814420644534,1.4468257617757274
0,1,1,0,1,2,28,2.443344055546062,1.6564808399363418
0,0,1,1,0,1,28,1.3546437658063042,1.272142087536175
0,0,0,0,0,0,28,0.5076933046644407,1.035819170635551
1,1,0,0,1,2,28,2.411657200994353,1.5639737489026961
1,0,1,0,1,2,28,2.4302383608850033,1.5146680808517687
0,1,0,1,0,1,28,1.4997239449828377,1.3498833333923437
0,1,1,0,1,2,28,2.413123106287626,1.523449126321657
1,1,0,0,1,2,28,2.3499179849390477,1.6864936188899162
1,0,0,1,0,1,28,1.4267586395392347,1.3372104721807885
0,0,1,1,0,1,28,1.3279366066752014,1.3788054774094467
0,1,1,0,1,2,28,2.2276782282486236,1.6253537857107805
0,1,1,0,1,2,28,2.575529281306718,1.535112222727554
1,1,1,1,1,3,28,3.331318866951362,1.8796607820277
1,1,1,1,1,3,28,3.182433557395112,1.8883642030599819
1,1,1,1,1,3,28,3.3684290013011826,1.9147115184418408
1,1,0,0,1,2,28,2.4456046092616948,1.523564587390395
0,0,1,1,0,1,28,1.3301265219408325,1.306756253691477
0,1,1,0,1,2,28,2.222302576355994,1.5509367132028196
0,1,1,0,1,2,28,2.3869153167953905,1.66378339300063
1,0,0,1,0,1,28,1.6392502882712756,1.4079643843676561
1,0,1,0,1,2,28,2.1688350901020907,1.6335022105895023
0,0,0,0,0,0,28,0.6184351754409653,1.0075876042938092
0,1,0,1,0,1,28,1.7965472320390703,1.2855643245919617
1,1,1,1,1,3,28,2.96345842804858,1.7967241760396373
1,1,0,0,1,2,28,2.581171187950674,1.6098903152181887
1,0,0,1,0,1,28,1.6345695145631842,1.3039716023150048
0,0,1,1,0,1,28,1.686862451827992,1.424691881769248
1,1,1,1,1,3,28,3.0653812814716828,1.919734540151728
0,1,1,0,1,2,28,2.458320593979934,1.5512992083226242
0,1,0,1,0,1,28,1.4903794855928074,1.2604817306725964
1,1,0,0,1,2,28,2.3685995915728633,1.5855067972324068
1,1,1,1,1,3,28,3.0411075693822993,1.8083522641198875
0,0,1,1,0,1,28,1.4381516138154073,1.2624088689989117
0,0,0,0,0,0,28,0.7003360720130505,1.1471780047436564
1,1,1,1,1,3,28,3.2897014229008095,1.9288025865052048
1,1,0,0,1,2,28,2.142361919924749,1.5700103264275564
1,1,1,1,1,3,28,3.3137615585340106,1.9040804063667203
1,1,0,0,1,2,28,2.444144553910098,1.6999506519854075
0,1,1,0,1,2,28,2.254432624428253,1.6386934825785087
1,0,1,0,1,2,28,2.3892693431359477,1.6095350087041103
1,0,1,0,1,2,28,2.3612423793769985,1.6417131855366203
0,0,0,0,0,0,28,0.8627408404643443,1.0425026694928088
1,1,0,0,1,2,28,2.279601085888859,1.641742939452505
0,1,0,1,0,1,28,1.6992660854759367,1.2635077352408055
0,0,1,1,0,1,28,1.3119902924632318,1.4294465076757938
1,1,1,1,1,3,28,2.9537854714355682,1.7628223850346272
0,1,1,0,1,2,28,2.1513572263914744,1.5327692497184362
0,1,1,0,1,2,28,2.202145461952688,1.6223755180081925
0,0,0,0,0,0,28,0.7287006535884818,1.0082465402272
1,1,1,1,1,3,28,3.040719851797845,1.843339472376112
0,0,1,1,0,1,28,1.7017415534129237,1.4257271626203334
1,1,0,0,1,2,28,2.3075537830658153,1.5739500657076653
1,1,0,0,1,2,28,2.3735228552886762,1.5189459989581013
1,1,0,0,1,2,28,2.59209446635664,1.6453710698204844
1,0,1,0,1,2,28,2.394898718232984,1.6376966060331457
